"level","region_number","region_label","location_number","location_label"
1,1,"Canyon Country",1,"Canyon Country"
1,2,"Castaic",2,"Castaic"
1,3,"Santa Clarita",3,"Santa Clarita"
1,4,"Stevenson Ranch",4,"Stevenson Ranch"
1,5,"Lancaster",5,"Lancaster"
1,6,"Palmdale",6,"Palmdale"
1,7,"Lake Los Angeles",7,"Lake Los Angeles"
1,8,"Acton",8,"Acton"
1,9,"Burbank",9,"Burbank"
1,10,"Glendale",10,"Glendale"
1,11,"La CanadaFlintridge",11,"La CanadaFlintridge"
1,12,"Pasadena",12,"Pasadena"
1,13,"Altadena",13,"Altadena"
1,14,"Arcadia",14,"Arcadia"
1,15,"Monrovia",15,"Monrovia"
1,16,"Duarte",16,"Duarte"
1,17,"Azusa",17,"Azusa"
1,18,"Glendora",18,"Glendora"
1,19,"San Dimas",19,"San Dimas"
1,20,"La Verne",20,"La Verne"
1,21,"Claremont",21,"Claremont"
1,22,"Pomona",22,"Pomona"
1,23,"Covina",23,"Covina"
1,24,"Covina",24,"Covina"
1,25,"West Covina",25,"West Covina"
1,26,"Baldwin Park",26,"Baldwin Park"
1,27,"El Monte",27,"El Monte"
1,28,"Temple City",28,"Temple City"
1,29,"Rosemead",29,"Rosemead"
1,30,"San Gabriel",30,"San Gabriel"
1,31,"South Pasadena",31,"South Pasadena"
1,32,"Alhambra",32,"Alhambra"
1,33,"Monterey Park",33,"Monterey Park"
1,34,"East Los Angeles",34,"East Los Angeles"
1,35,"Montebello",35,"Montebello"
1,36,"South El Monte",36,"South El Monte"
1,37,"Bassett",37,"Bassett"
1,38,"La Puente",38,"La Puente"
1,39,"Valinda",39,"Valinda"
1,40,"Walnut",40,"Walnut"
1,41,"Diamond Bar",41,"Diamond Bar"
1,42,"Rowland Heights",42,"Rowland Heights"
1,43,"Hacienda Heights",43,"Hacienda Heights"
1,44,"Pico Rivera",44,"Pico Rivera"
1,45,"Whittier",45,"Whittier"
1,46,"La Mirada",46,"La Mirada"
1,47,"South Whittier",47,"South Whittier"
1,48,"West Whittier/Los Nietos",48,"West Whittier/Los Nietos"
1,49,"Norwalk",49,"Norwalk"
1,50,"Downey",50,"Downey"
1,51,"Maywood",51,"Maywood"
1,52,"Bell",52,"Bell"
