"city","n_cases","date_reported","url"
"Alhambra",3,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Altadena",2,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Arcadia",2,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Baldwin Hills",1,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Beverly Hills",5,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Beverlywood",2,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Boyle Heights",5,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Brentwood",16,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Burbank",1,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Calabasas",1,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Carson",3,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Castaic",1,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Century City",4,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Century PalmsCove",1,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Covina",1,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Crestview",1,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Culver City",4,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Diamond Bar",2,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Downtown",1,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Eagle Rock",1,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"East Los Angeles",1,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Echo Park",1,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"El Segundo",1,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Encino",8,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Gardena",1,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Glendale",4,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Granada Hills",4,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Hancock Park",2,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Hawthorne",2,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Hollywood",7,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Hollywood Hills",2,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Inglewood",2,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Koreatown",1,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"La Mirada",3,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Lake Balboa",1,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Lakewood",1,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
"Lancaster",3,2020-03-20,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2274"
