"location_number","location_label","level","region_number","region_label","date_reported","n_cases"
512,"Agoura Hills",2,168,"Agoura Hills","2020-03-27",6
260,"Alhambra",2,32,"Alhambra","2020-03-27",8
226,"Arcadia",2,14,"Arcadia","2020-03-27",6
312,"Artesia",2,60,"Cerritos","2020-03-27",-1
516,"Avalon",2,170,"Avalon","2020-03-27",0
234,"Azusa",2,17,"Azusa","2020-03-27",1
252,"Baldwin Park",2,26,"Baldwin Park","2020-03-27",0
301,"Bell",2,52,"Bell","2020-03-27",4
306,"Bell Gardens",2,56,"Bell Gardens","2020-03-27",1
310,"Bellflower",2,59,"Bellflower","2020-03-27",10
358,"Beverly Hills",2,79,"Beverly Hills","2020-03-27",21
229,"Bradbury",2,16,"Duarte","2020-03-27",0
216,"Burbank",2,9,"Burbank","2020-03-27",7
510,"Calabasas",2,167,"Calabasas","2020-03-27",7
329,"Carson",2,65,"Carson","2020-03-27",21
313,"Cerritos",2,60,"Cerritos","2020-03-27",1
242,"Claremont",2,21,"Claremont","2020-03-27",1
297,"Commerce",2,51,"Maywood","2020-03-27",0
321,"Compton",2,63,"Compton","2020-03-27",7
250,"Covina",2,24,"Covina","2020-03-27",3
307,"Cudahy",2,56,"Bell Gardens","2020-03-27",-1
354,"Culver City",2,77,"Culver City","2020-03-27",6
280,"Diamond Bar",2,41,"Diamond Bar","2020-03-27",2
296,"Downey",2,50,"Downey","2020-03-27",12
230,"Duarte",2,16,"Duarte","2020-03-27",-1
254,"El Monte",2,27,"El Monte","2020-03-27",0
343,"El Segundo",2,71,"El Segundo","2020-03-27",-1
351,"Gardena",2,74,"Gardena","2020-03-27",5
217,"Glendale",2,10,"Glendale","2020-03-27",29
236,"Glendora",2,18,"Glendora","2020-03-27",4
315,"Hawaiian Gardens",2,61,"Lakewood","2020-03-27",-1
346,"Hawthorne",2,72,"Hawthorne","2020-03-27",7
341,"Hermosa Beach",2,70,"Manhattan Beach","2020-03-27",-1
511,"Hidden Hills",2,167,"Calabasas","2020-03-27",0
302,"Huntington Park",2,53,"Huntington Park","2020-03-27",0
270,"Industry",2,37,"Bassett","2020-03-27",0
353,"Inglewood",2,76,"Inglewood","2020-03-27",12
253,"Irwindale",2,26,"Baldwin Park","2020-03-27",0
218,"La Canada Flintridge",2,11,"La CanadaFlintridge","2020-03-27",5
284,"La Habra Heights",2,45,"Whittier","2020-03-27",-1
289,"La Mirada",2,46,"La Mirada","2020-03-27",5
275,"La Puente",2,38,"La Puente","2020-03-27",1
240,"La Verne",2,20,"La Verne","2020-03-27",1
316,"Lakewood",2,61,"Lakewood","2020-03-27",8
190,"Lancaster",2,5,"Lancaster","2020-03-27",18
