"city","n_cases","date_reported","url"
"Alhambra",1,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Altadena",1,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Arcadia",1,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Baldwin Hills",1,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Beverly Hills",1,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Boyle Heights",5,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Brentwood",1,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Carson",1,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Culver City",2,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Diamond Bar",2,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Eagle Rock",1,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Encino",5,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Gardena",1,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Glendale",3,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Granada Hills",3,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Hollywood",1,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Hollywood Hills",2,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Inglewood",1,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Koreatown",1,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"La Mirada",3,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Lynwood",1,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Manhattan Beach",4,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Mar Vista",1,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Melrose",9,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"Monterey Park",1,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
"North Hollywood",1,2020-03-17,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2271"
